,Receita,Ingredientes1,Ingredientes2,Ingredientes3,Ingredientes4,Ingredientes5,Ingredientes6,Ingredientes7,Ingredientes8,Ingredientes9,Ingredientes10,Ingredientes11,Ingredientes12,Ingredientes13,Ingredientes14,Ingredientes15,Ingredientes16,Ingredientes17,Ingredientes18
0,Massa de Pizza,farinha trigo,água,fermento,óleo soja,sal,açúcar,,,,,,,,,,,,
1,Receita de Bolo de Cenoura,sal,cenoura,óleo soja,fermento pó,farinha trigo,açúcar,ovo,sal,amido milho,cacau pó,leite soja,açúcar,,,,,,
2,Bolo de Chocolate Molhadinho,leite,ovo,Margarina,açúcar,chocolate pó,farinha trigo,fermento pó,leite,amido milho,chocolate pó,leite,Margarina,chocolate,,,,,
3,Como Fazer Bolinho de Chuva,fermento pó,farinha trigo,ovo,leite,açúcar,,,,,,,,,,,,,
4,Bolo de Fubá,fubá,farinha trigo,óleo milho,leite,açúcar,ovo,fermento pó,,,,,,,,,,,
5,Bolo de Milho,milho,ovo,fubá,açúcar,leite,óleo milho,fermento pó,,,,,,,,,,,
6,Fricassê de Frango,peito frango,óleo soja,sal,pimenta-do-reino,Cebola,alho,molho tomate,milho,creme leite soro,batata palha,mussarela,,,,,,,
7,Bolo de Aniversário,ovo,açúcar,farinha trigo,leite lactose,manteiga lactose,fermento pó,essência baunilho,leite lactose,caixinho creme leite lactose,manteiga lactose,,,,,,,,
8,Bolo de Banana,Banana,ovo,farinha trigo,amido milho,óleo soja,fermento pó,açúcar,,,,,,,,,,,
9,Panquecas,farinha trigo,leite,amido milho,ovo,sal,óleo soja,queijo,frango,Cebola,alho,tomate picadinho pele semente,azeite,salsinha,pimenta-do-reinor grão,sal,milho,ervilha,Requeijão
10,Pudim de Leite Condensado,ovo,leite,leite,açúcar,,,,,,,,,,,,,,
11,Torta de Liquidificador,óleo soja,farinha trigo,fermento pó,leite,ovo,óleo girassol,Cebola,alho,seleta legume,peito frango,salsinha,sal,,,,,,
12,Cuscuz Paulista,farinha Milho amarela,milho,sardinha,caldo legume,Azeitona,molho tomate,óleo milho,molho pimentar,salsa,Cebola,ervilha,vidro palmito,pimentão,pimentão,,,,
13,Pãozinho de Cenoura,cenoura,ovo,Margarina,açúcar,sal,óleo girassol,água,envelope fermento pó,farinha trigo acrescente ponto,,,,,,,,,
14,Pão Integral Caseiro com Aveia e Linhaça,água,fermento,óleo girassol,sal,açúcar,aveia,germen trigo,semente linhaço,farinha,farinha trigo ponto,,,,,,,,
15,Pão Estrela de Nutella,ovo,açúcar,fermento fermento,óleo girassol,leite,farinha trigo,sal,pote creme,,,,,,,,,,
16,Bolo Prestígio Econômico,ovo,farinha trigo,açúcar,leite,chocolate pó,fermento pó,óleo milho,leite,coco,leite,leite,chocolate pó,Margarina,,,,,
17,Muffin de Maçã,maçã casca,suco limão,farinha trigo,fermento pó,sal,canela-da-china pó,noz-moscada,bicarbonato sódio,pote iogurtar,ovo,manteiga,amido milho,uva,,,farinha trigo,,
18,Bolo de Cenoura Fofinho com Cobertura,amido milho,açúcar,farinha trigo,ovo,óleo milho,cenoura,fermento pó,licor cacau,chocolate pó,manteiga sal,água,açúcar,,,,,,
19,Torta de Rúcula e Tomate Seco,fermento pó,ovo,leite,Cebola,farinha trigo,queijo,sal,pimenta-do-reino,manteiga,tomate,Alecrim,rúcula,,,,,,
20,Quiche de Salmão com Brócolis,farinha trigo,sal,manteiga sal,gema ovo,água,ovo,creme leite,ricota,salmão,brócoli,sal,,,,,,,
21,Empadão de Massa Podre Delicioso e Fácil,farinha trigo,gema ovo,óleo girassol,liga,sal,Cebola,alho,polpa tomate,leite,amido milho,sal,Azeitona,palmito frango,Requeijão,,,,
22,Crepe de Nutella,farinha trigo,ovo,leite,sal,açúcar,óleo soja,creme,morango,bola Sorvete creme,calda chocolate,amêndoa,,,,,,,
23,Torta Trufada de Leite Ninho,biscoito maisena triturado,manteiga,leite,manteiga,leite pó,chocolate,creme leite,rum,chocolate,,,,,,,,,
24,Gelado de Oreo,biscoito chocolate recheio baunilha,leite,creme leite,cacau pó,ovo neve,,,,,,,,,,,,,
25,Cebola Empanada,leite,farinho rosca,farinha trigo,sal tempero preferêncer,Cebola,óleo milho,,,,,,,,,,,,
26,Massa de Coxinha Rápida,água,óleo soja,caldo,farinha trigo,,,,,,,,,,,,,,
27,Hambúrguer de Linguiça,sal,ovo,pão leite,Linguiça,salsinha,pimentão,Cebola,azeite,vinagre,sal,cerveja Malte American,,,,,,,
28,Suflê de Batata com Queijos,batata,leite,fermento pó,gorgonzola,parmesão,queijo mina padrão,manjericão,sal,ovo neve,,,,,,,,,
29,Salada de Macarrão,maionese,presunto,azeite,Farfalle,sal,salsinha,cebolinha,,,,,,,,,,,
30,Tomate Recheado com Ricota,tomate Maduro(s,queijo,ricota,alho picado(s,azeite,castanha-de-caju,queijo,,,,,,,,,,,
31,Geleia de Morangos,açúcar,morango,,,,,,,,,,,,,,,,
