,Receita,Ingredientes
0,Massa de Pizza,"[""' farinha trigo '"", ""' água '"", ""' fermento biológico fresco '"", ""' óleo soja '"", ""'sal '"", ""' açúcar '""]"
1,Receita de Bolo de Cenoura,"[""' sal '"", ""' cenoura '"", ""' óleo soja '"", ""' fermento químico pó '"", ""' farinha trigo '"", ""' açúcar '"", ""' ovo '"", ""' sal '"", ""' amido milho '"", ""' cacau pó '"", ""' leite '"", ""' açúcar '""]"
2,Bolo de Chocolate Molhadinho,"[""' leite '"", ""' ovo '"", ""' margarina '"", ""' açúcar '"", ""' chocolate pó '"", ""' farinha trigo '"", ""' fermento químico pó '"", ""' leite condensado '"", ""' amido milho '"", ""' chocolate pó '"", ""' leite '"", ""' margarina '"", ""'chocolate granulado '""]"
3,Como Fazer Bolinho de Chuva,"[""' fermento químico pó '"", ""' farinha trigo '"", ""' ovo '"", ""' leite '"", ""' açúcar '""]"
4,Bolo de Fubá,"[""' fubá '"", ""' farinha trigo '"", ""' óleo milho '"", ""' leite '"", ""' açúcar '"", ""' ovo '"", ""' fermento químico pó '""]"
5,Bolo de Milho,"[""' milho conserva '"", ""' ovo '"", ""' fubá '"", ""' açúcar '"", ""' leite '"", ""' óleo milho '"", ""' fermento químico pó '""]"
6,Fricassê de Frango,"[""' peito frango '"", ""' óleo soja '"", ""'sal '"", ""'pimenta reino branca '"", ""' cebola '"", ""' alho '"", ""' molho tomate '"", ""' milho conserva '"", ""' creme leite soro '"", ""' batata palha '"", ""' mussarela fatiada '""]"
7,Bolo de Aniversário,"[""' ovo '"", ""' açúcar '"", ""' farinha trigo '"", ""' leite '"", ""' manteiga '"", ""' fermento químico pó '"", ""' essência baunilha '"", ""' leite condensado '"", ""' creme leite '"", ""' manteiga '""]"
8,Bolo de Banana,"[""' banana nanica '"", ""' ovo '"", ""' farinha trigo '"", ""' amido milho '"", ""' óleo soja '"", ""' fermento químico pó '"", ""' açúcar '""]"
9,Panquecas,"[""' farinha trigo '"", ""' leite '"", ""' amido milho '"", ""' ovo '"", ""'sal '"", ""' óleo soja '"", ""' queijo ralado '"", ""' frango '"", ""' cebola picadinha '"", ""' alho picadinho '"", ""' tomate picadinho pele semente '"", ""' azeite '"", ""' salsinha '"", ""'pimenta reino grãos moída '"", ""'sal '"", ""' milho conserva '"", ""' ervilha '"", ""' requeijão '""]"
10,Pudim de Leite Condensado,"[""' ovo '"", ""' leite condensado '"", ""' leite '"", ""' açúcar '""]"
11,Torta de Liquidificador,"[""' óleo soja '"", ""' farinha trigo '"", ""' fermento químico pó '"", ""' leite '"", ""' ovo '"", ""' óleo girassol '"", ""' cebola '"", ""' alho '"", ""' seleta legume '"", ""' peito frango '"", ""' salsinha '"", ""' sal '""]"
12,Cuscuz Paulista,"[""' farinha milho amarela '"", ""' milho conserva '"", ""' sardinha '"", ""' caldo legume '"", ""' azeitona verde '"", ""' molho tomate '"", ""' óleo milho '"", ""' molho pimenta '"", ""' salsa desidratada '"", ""' cebola desidratada '"", ""' ervilha '"", ""' vidro palmito '"", ""' pimentão vermelho '"", ""' pimentão verde '""]"
