,Receita,Ingredientes
0,Massa de Pizza,"{'1/2 kg de farinha de trigo', '1 copo de água', '30 gr de fermento biológico fresco', '1/2 xícara (chá) de óleo de soja', 'Sal a gosto', '1 colher (café) de açúcar'}"
1,Receita de Bolo de Cenoura,"{'1 pitada de sal', '3 unidades de cenoura médias e cruas', '1 xícara (chá) de óleo de soja', '1 colher (sopa) de fermento químico em pó', '2 xícaras (chá) de farinha de trigo', '2 xícaras (chá) de açúcar', '3 unidades de ovo', '1 pitada de sal', '1 colher (sopa) de amido de milho', '4 colheres (sopa) de cacau em pó', '1 copo de leite (pode ser de soja)', '1 copo de açúcar'}"
2,Bolo de Chocolate Molhadinho,"{'1 xícara (chá) de leite', '3 unidades de ovo', '4 colheres (sopa) de margarina', '2 xícaras (chá) de açúcar', '1 xícara (chá) de chocolate em pó', '2 xícaras (chá) de farinha de trigo', '1 colher (sopa) de fermento químico em pó', '1 lata de leite condensado', '1 colher (sopa) de amido de milho', '1/2 xícara (chá) de chocolate em pó', '1 lata de leite', '2 colheres (sopa) de margarina', 'Chocolate granulado a gosto'}"
3,Como Fazer Bolinho de Chuva,"{'1 colher (sopa) de fermento químico em pó', '1 xícara (chá) de farinha de trigo', '2 unidades de ovo', '1/2 xícara (chá) de leite', '4 colheres (sopa) de açúcar'}"
4,Bolo de Fubá,"{'2 copos de fubá', '1 copo de farinha de trigo', '1 copo de óleo de milho', '2 copos de leite', '1 1/2 copos de açúcar', '3 unidades de ovo', '1 colher (sopa) de fermento químico em pó'}"
5,Bolo de Milho,"{'1 lata de milho em conserva', '3 unidades de ovo', '1 1/2 xícaras (chá) de fubá', '1 1/2 xícaras (chá) de açúcar', '2 xícaras (chá) de leite', '80 ml de óleo de milho', '1 colher (sopa) de fermento químico em pó'}"
6,Fricassê de Frango,"{'600 gr de peito de frango cozido e desfiado', '2 colheres (sopa) de óleo de soja', 'Sal a gosto', 'Pimenta-do-reino branca a gosto', '1 unidade de cebola picada', '2 dentes de alho', '2 colheres (sopa) de molho de tomate', '1 lata de milho em conserva', '1 lata de creme de leite sem soro', '100 gr de batata palha', '200 gr de mussarela fatiada'}"
7,Bolo de Aniversário,"{'4 unidades de ovo', '2 xícaras (chá) de açúcar', '2 1/2 copos de farinha de trigo', '1 copo de leite sem lactose', '3 colheres (sopa) de manteiga zero lactose', '4 colheres (café) de fermento químico em pó', '1 colher (café) de essência de baunilha', '1/2 lata de leite condensado sem lactose', '1 caixinha de creme de leite sem lactose', '250 gr de manteiga zero lactose'}"
8,Bolo de Banana,"{'3 unidades de banana nanica', '3 unidades de ovo', '2 xícaras (chá) de farinha de trigo', '1/2 xícara (chá) de amido de milho', '1/2 xícara (chá) de óleo de soja', '1/2 colher (sopa) de fermento químico em pó', '1 1/5 xícaras (chá) de açúcar'}"
9,Panquecas,"{'1 copo de farinha de trigo', '1 copo de leite', '1 colher (sopa) de amido de milho', '2 unidades de ovo', 'Sal a gosto', '1 colher (sopa) de óleo de soja', '1 colher (sopa) de queijo ralado', '300 gr de frango cozido e desfiado', '1/2 unidade de cebola picadinha', '1 unidade de alho picadinho', '1 unidade de tomate picadinho sem pele e sem semente', '2 colheres (sopa) de azeite', '1 colher (sopa) de salsinha', 'Pimenta-do-reino em grãos moída a gosto', 'Sal a gosto', '1/2 lata de milho em conserva', '1/2 lata de ervilha', '1/2 copo de requeijão'}"
